date,open,close,high,low,volume,money
2010/11/9,5435.36,5467.84,5468.36,5398.7,9270058100,1.25208E+11
2010/11/10,5459.4,5484.74,5504.88,5432.63,8859264100,1.23462E+11
2010/11/11,5462.76,5440.1,5581.35,5440.1,9877328400,1.38993E+11
2010/11/12,5411.87,5111.19,5445.71,5094.8,10514325500,1.41777E+11
2010/11/15,5117.16,5255.27,5255.85,5083.85,6785033500,93162069760
2010/11/16,5259.51,5068.47,5288.97,5017.25,7836215300,1.07406E+11
2010/11/17,4989.8,4855.85,5039.09,4830.51,5430789000,72200547532
2010/11/18,4885.91,4932.4,4941.2,4814.42,4202450500,57603057546
2010/11/19,4959.06,5081.03,5081.03,4919.28,5421057400,75492552848
2010/11/22,5049.46,5150.66,5190.6,5036.32,6086765100,87125849616
2010/11/23,5129.37,5063.24,5129.37,4970.49,5377227500,75005855856
2010/11/24,5022.13,5206.15,5206.42,5017.93,5408619800,77895655044
2010/11/25,5228.27,5259.81,5278.32,5226.98,6078655700,84176620421
2010/11/26,5255.26,5227.65,5256.4,5169.03,5407235300,73895454035
2010/11/29,5214.45,5248.75,5273.79,5180.66,5007099900,71080926639
2010/11/30,5238.5,5110.88,5257.1,4960.71,6460012300,87462279523
2010/12/1,5090.4,5116.84,5139.96,5071.35,4082123700,56140962521
2010/12/2,5175.26,5138.49,5192.63,5135.67,4774671500,65517113661
2010/12/3,5135.83,5100.37,5145.81,5052.43,3763797400,51837130406
2010/12/6,5103.86,5016.53,5114.07,4989.28,3413567800,48188257794
2010/12/7,4999.59,5084.58,5088.76,4931.88,3368159600,46997286828
2010/12/8,5077.55,5069.97,5133.25,5059.58,3301617800,46928056780
2010/12/9,5047.04,4964.9,5047.04,4964.25,3503606900,46985514644
2010/12/10,4944.93,5039.16,5045.95,4935.28,3041252700,42161387860
2010/12/13,5063.01,5179.02,5179.52,5063.01,4556354900,63884495365
2010/12/14,5194.94,5244.04,5244.53,5181.2,4936328300,69983253936
2010/12/15,5244.8,5230.68,5276.14,5211.7,4679572300,67483845192
2010/12/16,5219.08,5216.85,5250.39,5200.88,3552043900,49766029888
2010/12/17,5212.14,5228.34,5230.33,5187.4,3041214400,43025437619
2010/12/20,5246.42,5163.53,5264.21,5043.66,4558775600,65571498911
2010/12/21,5166.34,5222.79,5223.4,5123.27,4038840600,55801000203
2010/12/22,5225.77,5174.54,5226.18,5157.32,4077913500,56958141826
2010/12/23,5161.26,5069.52,5170.18,5060.53,3460813400,47842893244
2010/12/24,5046.94,4991.54,5046.94,4947.22,3095078600,40444073619
2010/12/27,4993.38,4849.63,5048.6,4832.53,3415533800,45458382170
2010/12/28,4820.82,4730.5,4827.35,4700.56,2955424800,37498203111
2010/12/29,4730.63,4812.53,4813.24,4723.29,2147683700,29581712752
2010/12/30,4810.44,4828.49,4846.65,4777.84,2353224100,33164304910
2010/12/31,4833.89,4936.72,4936.72,4833.89,2765461400,41140457900
2011/1/4,4964.21,5011.5,5012.06,4938.94,3699564400,54148801363
2011/1/5,4989.1,5028.77,5038.87,4964.87,3475221800,52016619203
2011/1/6,5026.33,5001.28,5047.26,4992.16,3123874300,45887129031
2011/1/7,4990.7,4975.14,5028.27,4945.78,3499623300,47227223346
